question,option1,option2,option3,option4,answer
"பொருத்துக:\n\na. Rational - 1. பகுத்தறிவு\n\nb. Objective - 2. குறிக்கோள்\n\nc. Confidence - 3. நம்பிக்கை\n\nd. Doctorate - 4. முனைவர் பட்டம்",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-4 b-1 c-2 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. வட்ட மேசை மாநாடு - 1. Round Table Conference\n\nb. இரட்டை வாக்குரிமை - 2. Double voting\n\nc. பல்கலைக்கழகம் - 3. University\n\nd. ஒப்பந்தம் - 4. Agreement",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Constitution - அரசியலமைப்பு,Articulatory phonetics - மெய்யொலி,Consonant - ஒலிபிறப்பியல்,Nasal consonant sound - கல்வெட்டு,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Epigraph - கல்வெட்டு,Vowel - உயிரொலி,Lexicography - அகராதியியல்,Phoneme - சித்திர எழுத்து,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Pictograph - சித்திர எழுத்து\n\n2. Tribes - பழங்குடியினர்\n\n3. Plain - பள்ளத்தாக்கு\n\n4. Valley - சமவெளி",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Thicket - புதர்\n\n2. Ridge - வெட்டுக்கிளி",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Locust - வெட்டுக்கிளி\n\n2. Leopard - சிறுத்தை\n\n3. Bud - மொட்டு\n\n4. Disease - நோய்",1,2,3,4,4
"Herbs" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,மூலிகை,சிறுதானியங்கள்,பட்டயக் கணக்கர்,பக்கவிளைவு,1
"சிறுதானியங்கள்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Millets,Auditor,Side Effect,Antibiotic,1
"பொருத்துக:\n\na. Auditor - 1. பட்டயக் கணக்கர்\n\nb. Side Effect - 2. பக்கவிளைவு\n\nc. Antibiotic - 3. நுண்ணுயிர் முறி\n\nd. Gene - 4. மரபணு",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. ஒவ்வாமை - 1. Allergy\n\nb. நிறுத்தக்குறி - 2. Punctuation\n\nc. அணிகலன் - 3. Ornament\n\nd. திறமை - 4. Talent",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Translation - மொழிபெயர்ப்பு,Awareness - சீர்திருத்தம்,Reform - விழிப்புணர்வு,Crafts - புல்லாங்குழல்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Flute - புல்லாங்குழல்,Drum - முரசு,Basketry - கூடைமுடைதல்,Knitting - கொம்பு,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Horn - கொம்பு\n\n2. Artisan - கைவினைஞர்\n\n3. Rite - நூல்\n\n4. Thread - சடங்கு",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Loom - தறி\n\n2. Dairy farm - தோல் பதனிடுதல்",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Tanning - தோல் பதனிடுதல்\n\n2. Stitch - தையல்\n\n3. Factory - ஆலை\n\n4. Dyeing - சாயம் ஏற்றுதல்",1,2,3,4,4
"Readymade Dress" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,ஆயத்த ஆடை,குதிரையேற்றம்,கதாநாயகன்,முதலமைச்சர்,1
"குதிரையேற்றம்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Equestrian,The Hero,Chief Minister,Leadership,1
"பொருத்துக:\n\na. The Hero - 1. கதாநாயகன்\n\nb. Chief Minister - 2. முதலமைச்சர்\n\nc. Leadership - 3. தலைமைப்பண்பு\n\nd. Support - 4. ஆதரவு",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. வரி - 1. Tax\n\nb. வெற்றி - 2. Victory\n\nc. சட்ட மன்ற உறுப்பினர் - 3. Member of Legislative Assembly\n\nd. தொண்டு - 4. Charity",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Saint - ஞானி,Philosophy - நேர்மை,Integrity - தத்துவம்,Rational - குறிக்கோள்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Reform - சீர்திருத்தம்,Objective - குறிக்கோள்,Confidence - நம்பிக்கை,Doctorate - வட்ட மேசை மாநாடு,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Round Table Conference - வட்ட மேசை மாநாடு\n\n2. Double voting - இரட்டை வாக்குரிமை\n\n3. University - ஒப்பந்தம்\n\n4. Agreement - பல்கலைக்கழகம்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Constitution - அரசியலமைப்பு\n\n2. Articulatory phonetics - மெய்யொலி",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Consonant - மெய்யொலி\n\n2. Nasal consonant sound - மூக்கொலி\n\n3. Epigraph - கல்வெட்டு\n\n4. Vowel - உயிரொலி",1,2,3,4,4
"Lexicography" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,அகராதியியல்,ஒலியன்,சித்திர எழுத்து,பழங்குடியினர்,1
"ஒலியன்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Phoneme,Pictograph,Tribes,Plain,1
"பொருத்துக:\n\na. Pictograph - 1. சித்திர எழுத்து\n\nb. Tribes - 2. பழங்குடியினர்\n\nc. Plain - 3. சமவெளி\n\nd. Valley - 4. பள்ளத்தாக்கு",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. புதர் - 1. Thicket\n\nb. மலைமுகடு - 2. Ridge\n\nc. வெட்டுக்கிளி - 3. Locust\n\nd. சிறுத்தை - 4. Leopard",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Bud - மொட்டு,Disease - மூலிகை,Herbs - நோய்,Millets - பட்டயக் கணக்கர்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Auditor - பட்டயக் கணக்கர்,Side Effect - பக்கவிளைவு,Antibiotic - நுண்ணுயிர் முறி,Gene - ஒவ்வாமை,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Allergy - ஒவ்வாமை\n\n2. Punctuation - நிறுத்தக்குறி\n\n3. Ornament - திறமை\n\n4. Talent - அணிகலன்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Translation - மொழிபெயர்ப்பு\n\n2. Awareness - சீர்திருத்தம்",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Reform - சீர்திருத்தம்\n\n2. Crafts - கைவினைப் பொருள்கள்\n\n3. Flute - புல்லாங்குழல்\n\n4. Drum - முரசு",1,2,3,4,4
"Basketry" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,கூடைமுடைதல்,பின்னுதல்,கொம்பு,கைவினைஞர்,1
"பின்னுதல்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Knitting,Horn,Artisan,Rite,1
"பொருத்துக:\n\na. Horn - 1. கொம்பு\n\nb. Artisan - 2. கைவினைஞர்\n\nc. Rite - 3. சடங்கு\n\nd. Thread - 4. நூல்",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-4 b-1 c-2 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. தறி - 1. Loom\n\nb. பால்பண்ணை - 2. Dairy farm\n\nc. தோல் பதனிடுதல் - 3. Tanning\n\nd. தையல் - 4. Stitch",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Factory - ஆலை,Dyeing - ஆயத்த ஆடை,Readymade Dress - சாயம் ஏற்றுதல்,Equestrian - கதாநாயகன்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",The Hero - கதாநாயகன்,Chief Minister - முதலமைச்சர்,Leadership - தலைமைப்பண்பு,Support - வரி,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Tax - வரி\n\n2. Victory - வெற்றி\n\n3. Member of Legislative Assembly - தொண்டு\n\n4. Charity - சட்ட மன்ற உறுப்பினர்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Saint - ஞானி\n\n2. Philosophy - நேர்மை",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Integrity - நேர்மை\n\n2. Rational - பகுத்தறிவு\n\n3. Reform - சீர்திருத்தம்\n\n4. Objective - குறிக்கோள்",1,2,3,4,4
"Confidence" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,நம்பிக்கை,முனைவர் பட்டம்,வட்ட மேசை மாநாடு,இரட்டை வாக்குரிமை,1
"முனைவர் பட்டம்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Doctorate,Round Table Conference,Double voting,University,1
"பொருத்துக:\n\na. Round Table Conference - 1. வட்ட மேசை மாநாடு\n\nb. Double voting - 2. இரட்டை வாக்குரிமை\n\nc. University - 3. பல்கலைக்கழகம்\n\nd. Agreement - 4. ஒப்பந்தம்",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. அரசியலமைப்பு - 1. Constitution\n\nb. ஒலிபிறப்பியல் - 2. Articulatory phonetics\n\nc. மெய்யொலி - 3. Consonant\n\nd. மூக்கொலி - 4. Nasal consonant sound",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Epigraph - கல்வெட்டு,Vowel - அகராதியியல்,Lexicography - உயிரொலி,Phoneme - சித்திர எழுத்து,1
