question,option1,option2,option3,option4,answer
Choose the correct Tamil equivalent for 'Search engine',தேடுபொறி,தொடுதிரை,குரல்தேடல்,செயலி,1
'புலனம்' என்பதன் ஆங்கிலச் சொல் என்ன?,Facebook,Whatsapp,Internet,Email,2
Match the following:\nA. Clock wise 1. இடஞ்சுழி\nB. Anti Clock wise 2. வலஞ்சுழி\nC. Voice Search 3. தொடுதிரை\nD. Touch Screen 4. குரல்தேடல்,2-1-4-3,2-1-3-4,1-2-4-3,1-2-3-4,1
பொருத்துக:\nA. செயலி 1. E mail\nB. மின்னஞ்சல் 2. App\nC. கண்டம் 3. Climate\nD. தட்பவெப்பநிலை 4. Continent,2-1-4-3,2-1-3-4,1-2-4-3,1-2-3-4,1
Which of the following pairs is correct?,Weather - வானிலை,Migration - புகலிடம்,Sanctuary - வலசை,Gravitational Field - மீத்திறன் கணினி,1
Identify the incorrect pair,Artificial Intelligence - செயற்கை நுண்ணறிவு,Super Computer - மீத்திறன் கணினி,Satellite - நுண்ணறிவு,Intelligence - நுண்ணறிவு,3
Consider the following pairs:\nI. Education - கல்வி\nII. Library - நூலகம்\nWhich of the above is/are correct?,I only,II only,Both I and II,Neither I nor II,3
Which of the following is correctly linked?,Primary School - தொடக்கப் பள்ளி,Higher Secondary School - மின்நூலகம்,E Library - மேல்நிலைப் பள்ளி,E Book - மின் இதழ்கள்,1
How many of the following pairs are correctly matched?\n1. Escalator - மின்படிக்கட்டு\n2. Lift - மின்தூக்கி\n3. E Mail - மின்னஞ்சல்,1,2,3,None,3
Choose the correct Tamil equivalent for 'Readymade Dress',ஆயத்த ஆடை,ஒப்பனை,சில்லுகள்,சிற்பங்கள்,1
'பாரம்பரியம்' என்பதன் ஆங்கிலச் சொல் என்ன?,Heritage,Ferries,Consumer,Voyage,1
Match the following:\nA. Adulteration 1. நாட்டுப்பற்று\nB. Merchant 2. கலப்படம்\nC. Patriotism 3. கலைக்கூடம்\nD. Art Gallery 4. வணிகர்,2-4-1-3,2-1-4-3,1-4-2-3,2-4-3-1,1
பொருத்துக:\nA. இலக்கியம் 1. Trust\nB. மெய்யுணர்வு 2. Literature\nC. அறக்கட்டளை 3. Volunteer\nD. தன்னார்வலர் 4. Knowledge of Reality,2-4-1-3,2-1-4-3,1-2-3-4,2-4-3-1,1
Which of the following pairs is correct?,Junior Red Cross - இளம் செஞ்சிலுவைச் சங்கம்,Scouts & Guides - சமூகப் பணியாளர்,Social Worker - சாரண சாரணியர்,Humanity - உறுப்பு மாற்று அறுவை சிகிச்சை,1
Identify the incorrect pair,Mercy - கருணை,Transplantation - உறுப்பு மாற்று அறுவை சிகிச்சை,Nobel Prize - சரக்குந்து,Lorry - சரக்குந்து,3
Consider the following pairs:\nI. Clock wise - வலஞ்சுழி\nII. Internet - இணையம்\nWhich of the above is/are correct?,I only,II only,Both I and II,Neither I nor II,3
Which of the following is correctly linked?,Search engine - முகநூல்,Facebook - தேடுபொறி,Whatsapp - புலனம்,Voice Search - செயலி,3
How many of the following pairs are correctly matched?\n1. Touch Screen - தொடுதிரை\n2. App - செயலி\n3. E mail - மின்னஞ்சல்,0,1,2,3,4
Choose the correct Tamil equivalent for 'Migration',புகலிடம்,வலசை,கண்டம்,தட்பவெப்பநிலை,2
'புவிஈர்ப்புப்புலம்' என்பதன் ஆங்கிலச் சொல் என்ன?,Gravitational Field,Artificial Intelligence,Super Computer,Satellite,1
Match the following:\nA. Intelligence 1. மேல்நிலைப் பள்ளி\nB. Education 2. நுண்ணறிவு\nC. Primary School 3. கல்வி\nD. Higher Secondary School 4. தொடக்கப் பள்ளி,2-3-4-1,2-3-1-4,3-2-4-1,1-2-3-4,1
பொருத்துக:\nA. நூலகம் 1. Lift\nB. மின்படிக்கட்டு 2. Library\nC. மின்தூக்கி 3. E Mail\nD. மின்னஞ்சல் 4. Escalator,2-4-1-3,2-1-4-3,1-2-4-3,2-4-3-1,1
Which of the following pairs is correct?,Compact Disk (CD) - குறுந்தகடு,E Library - மின்நூல்,E Book - மின் இதழ்கள்,E Magazine - மின்நூலகம்,1
Identify the incorrect pair,Welcome - நல்வரவு,Sculptures - சிற்பங்கள்,Chips - ஆயத்த ஆடை,Readymade Dress - ஆயத்த ஆடை,3
Consider the following pairs:\nI. Makeup - ஒப்பனை\nII. Tiffin - சிற்றுண்டி\nWhich of the above is/are correct?,I only,II only,Both I and II,Neither I nor II,3
Which of the following is correctly linked?,Commodity - பண்டம்,Ferries - நுகர்வோர்,Consumer - பயணப்படகுகள்,Heritage - கடற்பயணம்,1
How many of the following pairs are correctly matched?\n1. Voyage - கடற்பயணம்\n2. Entrepreneur - தொழில் முனைவோர்\n3. Adulteration - கலப்படம்,0,1,2,3,4
Choose the correct Tamil equivalent for 'Patriotism',நாட்டுப்பற்று,கலைக்கூடம்,இலக்கியம்,மெய்யுணர்வு,1
'அறக்கட்டளை' என்பதன் ஆங்கிலச் சொல் என்ன?,Trust,Volunteer,Junior Red Cross,Scouts & Guides,1
Match the following:\nA. Social Worker 1. கருணை\nB. Humanity 2. சமூகப் பணியாளர்\nC. Mercy 3. நோபல் பரிசு\nD. Transplantation 4. மனித நேயம்,2-4-1-3,2-1-4-3,1-2-3-4,2-4-3-1,1
பொருத்துக:\nA. நோபல் பரிசு 1. Lorry\nB. சரக்குந்து 2. Nobel Prize\nC. இணையம் 3. Search engine\nD. தேடுபொறி 4. Internet,2-1-4-3,2-1-3-4,1-2-4-3,1-2-3-4,1
Which of the following pairs is correct?,Facebook - முகநூல்,Whatsapp - இணையம்,Internet - புலனம்,Search engine - தொடுதிரை,1
Identify the incorrect pair,Clock wise - வலஞ்சுழி,Anti Clock wise - இடஞ்சுழி,Voice Search - தொடுதிரை,Touch Screen - தொடுதிரை,3
