question,option1,option2,option3,option4,answer
"வெண்ணெயை வைத்துக்கொண்டு நெய்க்கு அலைவானேன்" என்ற பழமொழிக்கு இணையான ஆங்கிலப் பழமொழி என்ன?,Command your man and do it yourself,Charity is a double blessing,The law maker should not be a law breaker,Misfortune never comes single,1
"தருமம் தலை காக்கும்" என்ற பழமொழிக்கு இணையான ஆங்கிலப் பழமொழி என்ன?,Charity is a double blessing,Take away the fuel the boiling will cease,Look no gift horse in the mouth,One doth the act another hath the blow,1
"எரிவதனைப் பிடுங்கினால் கொதிப்பது அடங்கும்" என்ற பழமொழிக்கு இணையான ஆங்கிலப் பழமொழி என்ன?,Take away the fuel the boiling will cease,Practice makes perfect,Every fox must at last pay his skin to the flaye,Money makes many things,1
"சித்திரமும் கைப்பழக்கம், செந்தமிழும் நாப்பழக்கம்" என்ற பழமொழிக்கு இணையான ஆங்கிலப் பழமொழி என்ன?,Practice makes perfect,The law maker should not be a law breaker,The day has eyes the night has ears,What comes from the cradle goes to the grave,1
"வேலியே பயிரை மேய்ந்தாற்போல" என்ற பழமொழிக்கு இணையான ஆங்கிலப் பழமொழி என்ன?,The law maker should not be a law breaker,Misfortune never comes single,The wise and the fool have their follows,He who has an art has everywhere a part,1
"பட்டகாலிலே படும், கெட்ட குடியே கெடும்" என்ற பழமொழிக்கு இணையான ஆங்கிலப் பழமொழி என்ன?,Misfortune never comes single,Look no gift horse in the mouth,Being on the sea sail being on the land settled,No rains no grains,1
"தானம் கொடுத்த மாட்டைப் பல்லைப் பிடித்துப் பார்க்கலாமா?" என்ற பழமொழிக்கு இணையான ஆங்கிலப் பழமொழி என்ன?,Look no gift horse in the mouth,One doth the act another hath the blow,Bad words find bad acceptance,One flower makes no garland,1
"பழி ஓரிடம், பாவம் ஓரிடம்" என்ற பழமொழிக்கு இணையான ஆங்கிலப் பழமொழி என்ன?,One doth the act, another hath the blow,Every fox must at last pay his skin to the flaye,Little wealth little care,Look before you leap,1
"பொருத்துக:\n\na. Every fox must at last pay his skin to the flaye - 1. பல நாள் திருடன் ஒரு நாள் அகப்படுவான்\n\nb. Money makes many things - 2. பணம் பத்தும் செய்யும்\n\nc. The day has eyes the night has ears - 3. பகலில் பக்கம் பார்த்துப் பேசு; இரவில் அதுவும் பேசாதே\n\nd. What comes from the cradle goes to the grave - 4. தொட்டில் பழக்கம் சுடுகாடு மட்டில்",a-1 b-2 c-3 d-4,a-2 b-1 c-4 d-3,a-3 b-4 c-1 d-2,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. The wise and the fool have their follows - 1. இனம் இனத்தோடு சேரும்\n\nb. He who has an art has everywhere a part - 2. கற்றோர்க்குச் சென்ற இடமெல்லாம் சிறப்பு\n\nc. Being on the sea sail being on the land settled - 3. காலத்திற்கேற்ற கோலம் கொள்\n\nd. No rains no grains - 4. மாரியல்லது காரியம் இல்லை",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. Bad words find bad acceptance - 1. நுணலும் தன் வாயாற் கெடும்\n\nb. One flower makes no garland - 2. தனிமரம் தோப்பாகாது\n\nc. Little wealth little care - 3. மடியில் கனமில்லையென்றால் வழியில் பயமில்லை\n\nd. Look before you leap - 4. ஆழம் அறியாமல் காலை விடாதே",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. Something is better than nothing - 1. ஆலையில்லா ஊருக்கு இலுப்பைப்பூ சருக்கரை\n\nb. Though he endeavours all he can - 2. புலியைப் பார்த்துப் பூனை சூடுபோட்டுக் கொண்டாற்போல்\n\nc. Anger is sworn enemy - 3. கோபம் குலத்தைக் கெடுக்கும்\n\nd. Break my head and bring a plaster - 4. பிள்ளையைக் கிள்ளிவிட்டுத் தொட்டிலையும் ஆட்டுவதுபோல",a-1 b-2 c-3 d-4,a-2 b-1 c-4 d-3,a-3 b-4 c-1 d-2,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. There is danger in men's smiles - 1. தொழுத கையுள்ளும் படை ஒடுங்கும்\n\nb. Like hand and glove - 2. நகமும் சதையும் போல\n\nc. Wealth is best known by want - 3. நிழலின் அருமை வெயிலில் தெரியும்\n\nd. A wolf in sheep's clothing - 4. பசுத்தோல் போர்த்திய புலி",a-1 b-2 c-3 d-4,a-3 b-4 c-1 d-2,a-2 b-1 c-4 d-3,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. Union is strength - 1. ஒற்றுமையே வலிமை\n\nb. No smoke without fire - 2. நெருப்பில்லாமல் புகையாது\n\nc. Might is right - 3. வல்லான் வகுத்ததே வாய்க்கால்\n\nd. Many things fall between the cup and the lip - 4. கைக்கு எட்டியது வாய்க்கு எட்டவில்லை",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. Health is wealth - 1. நோயற்ற வாழ்வே குறைவற்ற செல்வம்\n\nb. Too much of anything is good for nothing - 2. அளவுக்கு மிஞ்சினால் அமுதமும் நஞ்சு\n\nc. No pain no gain - 3. உழைப்பின்றி ஊதியமில்லை\n\nd. Haste makes waste - 4. பதறாத காரியம் சிதறாது",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. Knowledge is power - 1. அறிவே ஆற்றல்\n\nb. Charity begins at home - 2. தனக்கு மிஞ்சியே தானமும் தருமமும்\n\nc. Covet all lose all - 3. பேராசை பெருநட்டம்\n\nd. Diamonds cut diamonds - 4. முள்ளை முள்ளால் எடு",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. East or west home is the best - 1. எலி வளையானாலும் தனி வளையே சிறந்தது\n\nb. Empty vessels make the greatest sound - 2. குறை குடம் கூத்தாடும்\n\nc. Money makes many things - 3. பணம் பத்தும் செய்யும்\n\nd. Eagles don't catch flies - 4. புலி பசித்தாலும் புல்லைத் தின்னாது",a-1 b-2 c-3 d-4,a-3 b-4 c-1 d-2,a-2 b-1 c-4 d-3,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. Old is gold - 1. காலம் பொன் போன்றது\n\nb. Prevention is better than cure - 2. வருமுன் காப்பதே சிறந்தது\n\nc. Slow and steady wins the race - 3. முயற்சி திருவினையாக்கும்\n\nd. First deserve then desire - 4. முடவன் கொம்புத்தேனுக்கு ஆசைப்படலாமா?",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-4 b-1 c-2 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. அடிமேல் அடி அடித்தால் அம்மியும் நகரும் - 1. Little strokes fell great oaks\n\nb. யானைக்கும் பானைக்கும் சரி - 2. Tit for tat\n\nc. செய்யும் தொழிலே தெய்வம் - 3. Work is worship\n\nd. காலம் பொன் போன்றது - 4. Time is Gold",a-1 b-2 c-3 d-4,a-2 b-1 c-4 d-3,a-3 b-4 c-1 d-2,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. இனம் இனத்தோடு சேரும் - 1. Birds of the same feather flock together\n\nb. வீட்டில் எலி வெளியில் புலி - 2. Every cock will crow upon his own dunghill\n\nc. தோல்வியே வெற்றிக்கு அடிப்படை - 3. Failure is the stepping stone to success\n\nd. கல்வி கரையில கற்பவர் நாள் சில - 4. Art is long and life is short",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. ஆழம் அறியாமல் காலைவிடாதே - 1. Look before you leap\n\nb. நாம் ஒன்று நினைக்க தெய்வம் ஒன்று நினைக்கும் - 2. Man proposes; God disposes\n\nc. காற்றுள்ளபோதே தூற்றிக்கொள் - 3. Strike the rod while it is hot\n\nd. பழகப் பழகப் பாலும் புளிக்கும் - 4. Familiarity breeds contempt",a-1 b-2 c-3 d-4,a-3 b-4 c-1 d-2,a-2 b-1 c-4 d-3,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. அரசன் அன்றுகொல்வான் தெய்வம் நின்று கொல்லும் - 1. The mills of god grind slow but sure\n\nb. அகத்தின் அழகு முகத்தில் தெரியும் - 2. The face is the index of the mind\n\nc. மின்னுவதெல்லாம் பொன்னல்ல - 3. All that glitter is not gold\n\nd. கல்வி கரையில கற்பவர் நாள் சில - 4. Art is long but life is short",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. குரைக்கின்ற நாய் கடிக்காது - 1. Barking dog seldom bite\n\nb. சிறுதுரும்பும் பல் குத்த உதவும் - 2. Even a pin is good for something\n\nc. காலத்தே கடமையைச் செய் - 3. Take time by the forelock\n\nd. உயிர் கொடுப்பான் தோழன் - 4. A friend in need is a friend indeed",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. தன் கையே தனக்கு உதவி - 1. Self help is the best help\n\nb. முயற்சி திருவினையாக்கும் - 2. Efforts never fail\n\nc. வாழு வாழவிடு - 3. Live and let live\n\nd. உன்னைப்போல் பிறரையும் நேசி - 4. Think everybody alike",a-1 b-2 c-3 d-4,a-3 b-4 c-1 d-2,a-2 b-1 c-4 d-3,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. ஒழுக்கம் உயர்வு தரும் - 1. Manners make the man\n\nb. நல்ல தொடக்கம் நல்ல முடிவைத் தரும் - 2. All is well that ends well\n\nc. பட்டகாலிலே படும் கெட்ட குடியே கெடும் - 3. Misfortunes never come single\n\nd. செய்வன திருந்தச் செய் - 4. Do well what you have to do",a-1 b-2 c-3 d-4,a-2 b-1 c-4 d-3,a-4 b-3 c-2 d-1,a-3 b-4 c-1 d-2,1
"பொருத்துக:\n\na. ஏற்றம் உண்டானால் இறக்கம் உண்டு - 1. Every tide has its ebb\n\nb. சிறு துரும்பும் பல் குத்த உதவும் - 2. Small rudders guide great ships\n\nc. சிந்தித்துச் செயல்படு - 3. You must walk before run\n\nd. இக்கரைக்கு அக்கரை பச்சை - 4. Distance lends enchantment to the view",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. அளவுக்கு மீறினால் அமுதமும் நஞ்சு - 1. Measure is a treasure\n\nb. காற்றுள்ள போதே தூற்றிக்கொள் - 2. Make hay while the Sun shines\n\nc. ஐந்தில் வளையாதது ஐம்பதில் வளையுமா ? - 3. Bend the tree while it is young\n\nd. தாயைப்போலப் பிள்ளை; நூலைப்போலச் சேலை - 4. As is the mother so is her daughter",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",A friend in need is a friend indeed - உயிர் காப்பான் தோழன்,A man of courage never wants weapons - உயிர் காப்பான் தோழன்,Blood is thicker than water - அழுத பிள்ளை பால் குடிக்கும்,Crying child will get milk - வல்லவனுக்குப் புல்லும் ஆயுதம்,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Make hay while the sun shines - காற்றுள்ளபோதே தூற்றிக்கொள்,The childhood shows the man - முதற்கோணல் முற்றிலும் கோணல்,All is well that ends well - ஆனைக்கும் அடி சறுக்கும்,A Good marksman may miss - விளையும் பயிர் முளையிலேயே தெரியும்,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",In a fiddler's house all are dancers - கம்பன் வீட்டுக் கட்டுத்தறியும் கவி பாடும்,No man can flay a stone - கரைப்பார் கரைத்தால் கல்லும் கரையும்,Difficulties give way to diligence - கல்லிலே நார் உரிக்க முடியுமா?,Command your man and do it yourself - எரிவதனைப் பிடுங்கினால் கொதிப்பது அடங்கும்,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Charity is a double blessing - தருமம் தலை காக்கும்,Take away the fuel the boiling will cease - சித்திரமும் கைப்பழக்கம் செந்தமிழும் நாப்பழக்கம்,Practice makes perfect - எரிவதனைப் பிடுங்கினால் கொதிப்பது அடங்கும்,The law maker should not be a law breaker - பட்டகாலிலே படும் கெட்ட குடியே கெடும்,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Misfortune never comes single - பட்டகாலிலே படும் கெட்ட குடியே கெடும்,Look no gift horse in the mouth - பழி ஓரிடம் பாவம் ஓரிடம்,One doth the act another hath the blow - தானம் கொடுத்த மாட்டைப் பல்லைப் பிடித்துப் பார்க்கலாமா?,Every fox must at last pay his skin to the flaye - பணம் பத்தும் செய்யும்,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Money makes many things - பணம் பத்தும் செய்யும்,The day has eyes the night has ears - தொட்டில் பழக்கம் சுடுகாடு மட்டில்,What comes from the cradle goes to the grave - பகலில் பக்கம் பார்த்துப் பேசு; இரவில் அதுவும் பேசாதே,The wise and the fool have their follows - கற்றோர்க்குச் சென்ற இடமெல்லாம் சிறப்பு,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",He who has an art has everywhere a part - கற்றோர்க்குச் சென்ற இடமெல்லாம் சிறப்பு,Being on the sea sail being on the land settled - மாரியல்லது காரியம் இல்லை,No rains no grains - காலத்திற்கேற்ற கோலம் கொள்,Bad words find bad acceptance - தனிமரம் தோப்பாகாது,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",One flower makes no garland - தனிமரம் தோப்பாகாது,Little wealth little care - ஆழம் அறியாமல் காலை விடாதே,Look before you leap - மடியில் கனமில்லையென்றால் வழியில் பயமில்லை,Something is better than nothing - புலியைப் பார்த்துப் பூனை சூடுபோட்டுக் கொண்டாற்போல்,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Though he endeavours all he can - புலியைப் பார்த்துப் பூனை சூடுபோட்டுக் கொண்டாற்போல்,Anger is sworn enemy - பிள்ளையைக் கிள்ளிவிட்டுத் தொட்டிலையும் ஆட்டுவதுபோல,Break my head and bring a plaster - கோபம் குலத்தைக் கெடுக்கும்,There is danger in men's smiles - நகமும் சதையும் போல,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Like hand and glove - நகமும் சதையும் போல,Wealth is best known by want - பசுத்தோல் போர்த்திய புலி,A wolf in sheep's clothing - நிழலின் அருமை வெயிலில் தெரியும்,Union is strength - நெருப்பில்லாமல் புகையாது,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",No smoke without fire - ஒற்றுமையே வலிமை,Might is right - வல்லான் வகுத்ததே வாய்க்கால்,Many things fall between the cup and the lip - கைக்கு எட்டியது வாய்க்கு எட்டவில்லை,Health is wealth - நோயற்ற வாழ்வே குறைவற்ற செல்வம்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Too much of anything is good for nothing - அளவற்ற செல்வம்,No pain no gain - உழைப்பின்றி ஊதியமில்லை,Haste makes waste - பதறாத காரியம் சிதறாது,Knowledge is power - அறிவே ஆற்றல்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Charity begins at home - தனக்கு மிஞ்சியே தானமும் தருமமும்,Covet all lose all - பேராசை பெருநட்டம்,Diamonds cut diamonds - எலி வளையானாலும் தனி வளையே சிறந்தது,East or west home is the best - எலி வளையானாலும் தனி வளையே சிறந்தது,3
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Empty vessels make the greatest sound - பணம் பத்தும் செய்யும்,Money makes many things - பணம் பத்தும் செய்யும்,Eagles don't catch flies - புலி பசித்தாலும் புல்லைத் தின்னாது,Old is gold - காலம் பொன் போன்றது,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Prevention is better than cure - முயற்சி திருவினையாக்கும்,Slow and steady wins the race - முயற்சி திருவினையாக்கும்,First deserve then desire - முடவன் கொம்புத்தேனுக்கு ஆசைப்படலாமா?,Little strokes fell great oaks - அடிமேல் அடி அடித்தால் அம்மியும் நகரும்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Tit for tat - செய்யும் தொழிலே தெய்வம்,Work is worship - செய்யும் தொழிலே தெய்வம்,Time is Gold - காலம் பொன் போன்றது,Birds of the same feather flock together - இனம் இனத்தோடு சேரும்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Every cock will crow upon his own dunghill - தோல்வியே வெற்றிக்கு அடிப்படை,Failure is the stepping stone to success - தோல்வியே வெற்றிக்கு அடிப்படை,Art is long and life is short - கல்வி கரையில கற்பவர் நாள் சில,Look before you leap - ஆழம் அறியாமல் காலைவிடாதே,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Man proposes; God disposes - காற்றுள்ளபோதே தூற்றிக்கொள்,Strike the rod while it is hot - காற்றுள்ளபோதே தூற்றிக்கொள்,Familiarity breeds contempt - பழகப் பழகப் பாலும் புளிக்கும்,The mills of god grind slow but sure - அரசன் அன்றுகொல்வான் தெய்வம் நின்று கொல்லும்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",The face is the index of the mind - அகத்தின் அழகு முகத்தில் தெரியும்,All that glitter is not gold - மின்னுவதெல்லாம் பொன்னல்ல,Art is long but life is short - குரைக்கின்ற நாய் கடிக்காது,Barking dog seldom bite - குரைக்கின்ற நாய் கடிக்காது,3
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Even a pin is good for something - சிறுதுரும்பும் பல் குத்த உதவும்,Take time by the forelock - காலத்தே கடமையைச் செய்,A friend in need is a friend indeed - தன் கையே தனக்கு உதவி,Self help is the best help - தன் கையே தனக்கு உதவி,3
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Efforts never fail - முயற்சி திருவினையாக்கும்\n\n2. Live and let live - வாழு வாழவிடு\n\n3. Think everybody alike - ஒழுக்கம் உயர்வு தரும்\n\n4. Manners make the man - உன்னைப்போல் பிறரையும் நேசி",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. All is well that ends well - நல்ல தொடக்கம் நல்ல முடிவைத் தரும்\n\n2. Misfortunes never come single - பட்டகாலிலே படும் கெட்ட குடியே கெடும்\n\n3. Do well what you have to do - ஏற்றம் உண்டானால் இறக்கம் உண்டு\n\n4. Every tide has its ebb - செய்வன திருந்தச் செய்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Small rudders guide great ships - சிறு துரும்பும் பல் குத்த உதவும்\n\n2. You must walk before run - சிந்தித்துச் செயல்படு\n\n3. Distance lends enchantment to the view - அளவுக்கு மீறினால் அமுதமும் நஞ்சு\n\n4. Measure is a treasure - இக்கரைக்கு அக்கரை பச்சை",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Make hay while the Sun shines - காற்றுள்ள போதே தூற்றிக்கொள்\n\n2. Bend the tree while it is young - ஐந்தில் வளையாதது ஐம்பதில் வளையுமா?\n\n3. As is the mother so is her daughter - உயிர் காப்பான் தோழன்\n\n4. A friend in need is a friend indeed - தாயைப்போலப் பிள்ளை; நூலைப்போலச் சேலை",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. A man of courage never wants weapons - வல்லவனுக்குப் புல்லும் ஆயுதம்\n\n2. Blood is thicker than water - தான் ஆடாவிட்டாலும் தன் தசை ஆடும்\n\n3. Crying child will get milk - காற்றுள்ளபோதே தூற்றிக்கொள்\n\n4. Make hay while the sun shines - அழுத பிள்ளை பால் குடிக்கும்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. The childhood shows the man - விளையும் பயிர் முளையிலேயே தெரியும்\n\n2. All is well that ends well - முதற்கோணல் முற்றிலும் கோணல்\n\n3. A Good marksman may miss - கம்பன் வீட்டுக் கட்டுத்தறியும் கவி பாடும்\n\n4. In a fiddler's house all are dancers - ஆனைக்கும் அடி சறுக்கும்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. No man can flay a stone - கல்லிலே நார் உரிக்க முடியுமா?\n\n2. Difficulties give way to diligence - கரைப்பார் கரைத்தால் கல்லும் கரையும்\n\n3. Command your man and do it yourself - தருமம் தலை காக்கும்\n\n4. Charity is a double blessing - வெண்ணெயை வைத்துக்கொண்டு நெய்க்கு அலைவானேன்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Take away the fuel the boiling will cease - எரிவதனைப் பிடுங்கினால் கொதிப்பது அடங்கும்\n\n2. Practice makes perfect - சித்திரமும் கைப்பழக்கம் செந்தமிழும் நாப்பழக்கம்\n\n3. The law maker should not be a law breaker - பட்டகாலிலே படும் கெட்ட குடியே கெடும்\n\n4. Misfortune never comes single - வேலியே பயிரை மேய்ந்தாற்போல",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Look no gift horse in the mouth - தானம் கொடுத்த மாட்டைப் பல்லைப் பிடித்துப் பார்க்கலாமா?\n\n2. One doth the act another hath the blow - பழி ஓரிடம் பாவம் ஓரிடம்\n\n3. Every fox must at last pay his skin to the flaye - பணம் பத்தும் செய்யும்\n\n4. Money makes many things - பல நாள் திருடன் ஒரு நாள் அகப்படுவான்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. The day has eyes the night has ears - பகலில் பக்கம் பார்த்துப் பேசு; இரவில் அதுவும் பேசாதே\n\n2. What comes from the cradle goes to the grave - தொட்டில் பழக்கம் சுடுகாடு மட்டில்\n\n3. The wise and the fool have their follows - கற்றோர்க்குச் சென்ற இடமெல்லாம் சிறப்பு\n\n4. He who has an art has everywhere a part - இனம் இனத்தோடு சேரும்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
