question,option1,option2,option3,option4,answer
"Marine technology" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,கப்பல் தொழில்நுட்பம்,கடல்வாழ் உயிரினம்,நீர்மூழ்கிக்கப்பல்,துறைமுகம்,1
"கடல்வாழ் உயிரினம்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Marine creature,Submarine,Harbour,Storm,1
"பொருத்துக:\n\na. Submarine - 1. நீர்மூழ்கிக்கப்பல்\n\nb. Harbour - 2. துறைமுகம்\n\nc. Storm - 3. புயல்\n\nd. Sailor - 4. மாலுமி",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-4 b-1 c-2 d-3,a-3 b-4 c-1 d-2,1
"பொருத்துக:\n\na. நங்கூரம் - 1. Anchor\n\nb. கப்பல்தளம் - 2. Shipyard\n\nc. கோடை விடுமுறை - 3. Summer Vacation\n\nd. குழந்தைத் தொழிலாளர் - 4. Child Labour",a-1 b-2 c-3 d-4,a-2 b-1 c-4 d-3,a-3 b-4 c-1 d-2,a-4 b-3 c-2 d-1,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Degree - பட்டம்,Literacy - நீதி,Moral - கல்வியறிவு,Uniform - வழிகாட்டுதல்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Guidance - வழிகாட்டுதல்,Discipline - ஒழுக்கம்,Creator - படைப்பாளர்,Sculpture - கலைஞர்,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Artist - கலைஞர்\n\n2. Inscriptions - கல்வெட்டு\n\n3. Manuscripts - தூரிகை\n\n4. Aesthetics - கையெழுத்துப்படி",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Brush - தூரிகை\n\n2. Cartoon - குகை ஓவியங்கள்",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Cave paintings - குகை ஓவியங்கள்\n\n2. Modern Art - நவீன ஓவியம்\n\n3. Civilization - நாகரிகம்\n\n4. Folklore - நாட்டுப்புறவியல்",1,2,3,4,4
"Literacy" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,கல்வியறிவு,நீதி,சீருடை,வழிகாட்டுதல்,1
"நீதி" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Moral,Uniform,Guidance,Discipline,1
"பொருத்துக:\n\na. Uniform - 1. சீருடை\n\nb. Guidance - 2. வழிகாட்டுதல்\n\nc. Discipline - 3. ஒழுக்கம்\n\nd. Creator - 4. படைப்பாளர்",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. சிற்பம் - 1. Sculpture\n\nb. கலைஞர் - 2. Artist\n\nc. கல்வெட்டு - 3. Inscriptions\n\nd. கையெழுத்துப்படி - 4. Manuscripts",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Aesthetics - அழகியல்,Brush - கருத்துப்படம்,Cartoon - தூரிகை,Cave paintings - நவீன ஓவியம்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Modern Art - நவீன ஓவியம்,Civilization - நாகரிகம்,Folklore - நாட்டுப்புறவியல்,Harvest - நீர்ப்பாசனம்,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Irrigation - நீர்ப்பாசனம்\n\n2. Foreigner - அயல்நாட்டினர்\n\n3. Agriculture - நெற்பயிர்\n\n4. Poet - வேளாண்மை",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Paddy - நெற்பயிர்\n\n2. Cultivation - உழவியல்",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Agronomy - உழவியல்\n\n2. Objective - குறிக்கோள்\n\n3. Wealth - செல்வம்\n\n4. Ambition - லட்சியம்",1,2,3,4,4
"Brush" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,தூரிகை,கருத்துப்படம்,குகை ஓவியங்கள்,நவீன ஓவியம்,1
"கருத்துப்படம்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Cartoon,Cave paintings,Modern Art,Civilization,1
"பொருத்துக:\n\na. Cave paintings - 1. குகை ஓவியங்கள்\n\nb. Modern Art - 2. நவீன ஓவியம்\n\nc. Civilization - 3. நாகரிகம்\n\nd. Folklore - 4. நாட்டுப்புறவியல்",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-4 b-1 c-2 d-3,a-3 b-4 c-1 d-2,1
"பொருத்துக:\n\na. அறுவடை - 1. Harvest\n\nb. நீர்ப்பாசனம் - 2. Irrigation\n\nc. அயல்நாட்டினர் - 3. Foreigner\n\nd. வேளாண்மை - 4. Agriculture",a-1 b-2 c-3 d-4,a-3 b-4 c-1 d-2,a-2 b-1 c-4 d-3,a-4 b-3 c-2 d-1,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Poet - கவிஞர்,Paddy - பயிரிடுதல்,Cultivation - நெற்பயிர்,Agronomy - குறிக்கோள்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Objective - குறிக்கோள்,Wealth - செல்வம்,Ambition - லட்சியம்,Communism - கடமை,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Responsibility - கடமை\n\n2. Neighbour - அயலவர்\n\n3. Poverty - ஒப்புரவுநெறி\n\n4. Reciprocity - வறுமை",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Courtesy - நற்பண்பு\n\n2. Religion - எளிமை",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Simplicity - எளிமை\n\n2. Charity - ஈகை\n\n3. Dignity - கண்ணியம்\n\n4. Doctrine - கொள்கை",1,2,3,4,4
"Paddy" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,நெற்பயிர்,பயிரிடுதல்,உழவியல்,குறிக்கோள்,1
"பயிரிடுதல்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Cultivation,Agronomy,Objective,Wealth,1
"பொருத்துக:\n\na. Agronomy - 1. உழவியல்\n\nb. Objective - 2. குறிக்கோள்\n\nc. Wealth - 3. செல்வம்\n\nd. Ambition - 4. லட்சியம்",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-4 b-1 c-2 d-3,a-3 b-2 c-1 d-4,1
"பொருத்துக:\n\na. பொதுவுடைமை - 1. Communism\n\nb. கடமை - 2. Responsibility\n\nc. அயலவர் - 3. Neighbour\n\nd. வறுமை - 4. Poverty",a-1 b-2 c-3 d-4,a-3 b-4 c-1 d-2,a-2 b-1 c-4 d-3,a-4 b-3 c-2 d-1,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Reciprocity - ஒப்புரவுநெறி,Courtesy - சமயம்,Religion - நற்பண்பு,Simplicity - ஈகை,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Charity - ஈகை,Dignity - கண்ணியம்,Doctrine - கொள்கை,Philosophy - நேர்மை,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Integrity - நேர்மை\n\n2. Sincerity - வாய்மை\n\n3. Preaching - வானியல்\n\n4. Astronomy - உபதேசம்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Media - ஊடகம்\n\n2. Linguistics - ஒலியியல்",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Phonology - ஒலியியல்\n\n2. Journalism - இதழியல்\n\n3. Magazine - பருவ இதழ்\n\n4. Puppetry - பொம்மலாட்டம்",1,2,3,4,4
"Courtesy" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,நற்பண்பு,சமயம்,எளிமை,ஈகை,1
"சமயம்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Religion,Simplicity,Charity,Dignity,1
"பொருத்துக:\n\na. Simplicity - 1. எளிமை\n\nb. Charity - 2. ஈகை\n\nc. Dignity - 3. கண்ணியம்\n\nd. Doctrine - 4. கொள்கை",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-4 b-1 c-2 d-3,a-3 b-4 c-1 d-2,1
"பொருத்துக:\n\na. தத்துவம் - 1. Philosophy\n\nb. நேர்மை - 2. Integrity\n\nc. வாய்மை - 3. Sincerity\n\nd. உபதேசம் - 4. Preaching",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Astronomy - வானியல்,Media - மொழியியல்,Linguistics - ஊடகம்,Phonology - இதழியல்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Journalism - இதழியல்,Magazine - பருவ இதழ்,Puppetry - பொம்மலாட்டம்,Orthography - உரையாடல்,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Dialogue - உரையாடல்\n\n2. Island - தீவு\n\n3. Natural Resource - வன விலங்குகள்\n\n4. Wild Animals - இயற்கை வளம்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Forest Conservator - வனப் பாதுகாவலர்\n\n2. Parable - காடு",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Jungle - காடு\n\n2. Forestry - வனவியல்\n\n3. Bio Diversity - பல்லுயிர் மண்டலம்\n\n4. Ballad - கதைப்பாடல்",1,2,3,4,4
"Media" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,ஊடகம்,இதழியல்,பருவ இதழ்,பொம்மலாட்டம்,1
"இதழியல்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Journalism,Magazine,Puppetry,Orthography,1
"பொருத்துக:\n\na. Magazine - 1. பருவ இதழ்\n\nb. Puppetry - 2. பொம்மலாட்டம்\n\nc. Orthography - 3. எழுத்திலக்கணம்\n\nd. Dialogue - 4. உரையாடல்",a-1 b-2 c-3 d-4,a-2 b-1 c-4 d-3,a-3 b-4 c-1 d-2,a-4 b-3 c-2 d-1,1
"பொருத்துக:\n\na. தீவு - 1. Island\n\nb. இயற்கை வளம் - 2. Natural Resource\n\nc. வன விலங்குகள் - 3. Wild Animals\n\nd. வனப் பாதுகாவலர் - 4. Forest Conservator",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Parable - உவமை,Jungle - வனவியல்,Forestry - காடு,Bio Diversity - கதைப்பாடல்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Ballad - கதைப்பாடல்,Courage - துணிவு,Sacrifice - தியாகம்,Political Genius - முழக்கம்,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Elocution - பேச்சாற்றல்\n\n2. Unity - ஒற்றுமை\n\n3. Slogan - கலங்கரை விளக்கம்\n\n4. Equality - முழக்கம்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Light house - கலங்கரை விளக்கம்\n\n2. Ocean - கப்பல் தொழில்நுட்பம்",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Marine creature - கடல்வாழ் உயிரினம்\n\n2. Submarine - நீர்மூழ்கிக்கப்பல்\n\n3. Harbour - துறைமுகம்\n\n4. Storm - புயல்",1,2,3,4,4
"Jungle" என்ற சொல்லிற்கு இணையான தமிழ்ச் சொல் என்ன?,காடு,வனவியல்,பல்லுயிர் மண்டலம்,கதைப்பாடல்,1
"வனவியல்" - இச்சொல்லிற்கான ஆங்கிலச் சொல் என்ன?,Forestry,Bio Diversity,Ballad,Courage,1
"பொருத்துக:\n\na. Bio Diversity - 1. பல்லுயிர் மண்டலம்\n\nb. Ballad - 2. கதைப்பாடல்\n\nc. Courage - 3. துணிவு\n\nd. Sacrifice - 4. தியாகம்",a-1 b-2 c-3 d-4,a-2 b-3 c-4 d-1,a-3 b-4 c-1 d-2,a-4 b-1 c-2 d-3,1
"பொருத்துக:\n\na. அரசியல் மேதை - 1. Political Genius\n\nb. பேச்சாற்றல் - 2. Elocution\n\nc. ஒற்றுமை - 3. Unity\n\nd. முழக்கம் - 4. Slogan",a-1 b-2 c-3 d-4,a-4 b-3 c-2 d-1,a-2 b-1 c-4 d-3,a-3 b-2 c-1 d-4,1
"கீழ்க்கண்டவற்றுள் சரியான இணை எது?",Equality - சமத்துவம்,Light house - பெருங்கடல்,Ocean - கலங்கரை விளக்கம்,Marine technology - கடல்வாழ் உயிரினம்,1
"கீழ்க்கண்டவற்றுள் தவறான இணை எது?",Marine creature - கடல்வாழ் உயிரினம்,Submarine - நீர்மூழ்கிக்கப்பல்,Harbour - துறைமுகம்,Storm - மாலுமி,4
"கீழ்க்கண்ட இணைகளில் சரியானவற்றைத் தேர்ந்தெடுக்கவும்:\n\n1. Sailor - மாலுமி\n\n2. Anchor - நங்கூரம்\n\n3. Shipyard - குழந்தைத் தொழிலாளர்\n\n4. Summer Vacation - கப்பல்தளம்",1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,1 மற்றும் 3 சரி,2 மற்றும் 4 சரி,1
"சரியான மற்றும் தவறான இணைகளைக் கண்டறிக:\n\n1. Child Labour - குழந்தைத் தொழிலாளர்\n\n2. Degree - கல்வியறிவு",இரண்டும் சரி,1 சரி 2 தவறு,1 தவறு 2 சரி,இரண்டும் தவறு,2
"கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாகப் பொருந்தியுள்ளன?\n\n1. Moral - நீதி\n\n2. Uniform - சீருடை\n\n3. Guidance - வழிகாட்டுதல்\n\n4. Discipline - ஒழுக்கம்",1,2,3,4,4
