question,option1,option2,option3,option4,answer
ஆங்கிலச் சொல்லுக்கு நேரான தமிழ்ச்சொல் ? \n\n பொருத்துக \n\n (a) Harvest – 1. நீர்ப்பாசனம் \n\n (b) Irrigation – 2. அறுவடை \n\n (c) Foreigner – 3. வேளாண்மை \n\n (d) Agriculture – 4. அயல்நாட்டினர்,2 1 4 3,1 2 3 4,2 1 3 4,4 3 2 1,1
Poet என்ற சொல்லுக்கு இணையான தமிழ்ச்சொல்?,கவிஞர்,எழுத்தாளர்,புலவர்,பேச்சாளர்,1
Paddy என்பதன் தமிழாக்கம்?,நெற்பயிர்,கோதுமை,தானியம்,பயிர்,1
Cultivation என்ற ஆங்கிலச் சொல்லுக்குரிய தமிழ்ச்சொல்?,உழவியல்,பயிரிடுதல்,அறுவடை,வேளாண்மை,2
Agronomy என்பதன் தமிழாக்கம்?,உழவியல்,வேளாண்மை,மண்ணியல்,பயிரிடுதல்,1
Objective என்ற சொல்லுக்கு இணையான தமிழ்ச்சொல்?,குறிக்கோள்,கொள்கை,லட்சியம்,கடமை,1
Wealth என்பதன் தமிழாக்கம்?,செல்வம்,வறுமை,ஈகை,பணம்,1
Ambition என்ற ஆங்கிலச் சொல்லுக்குரிய தமிழ்ச்சொல்?,விருப்பம்,லட்சியம்,கனவு,குறிக்கோள்,2
Communism என்பதன் தமிழாக்கம்?,பொதுவுடைமை,முதலாளித்துவம்,சமத்துவம்,ஜனநாயகம்,1
Responsibility என்ற சொல்லுக்கு இணையான தமிழ்ச்சொல்?,கடமை,பொறுப்பு,உரிமை,அதிகாரம்,1
Neighbour என்பதன் தமிழாக்கம்?,நண்பர்,உறவினர்,அயலவர்,ஊரார்,3
Poverty என்ற ஆங்கிலச் சொல்லுக்குரிய தமிழ்ச்சொல்?,வறுமை,செல்வம்,ஏழ்மை,பஞ்சம்,1
Reciprocity என்பதன் தமிழாக்கம்?,ஒப்புரவுநெறி,ஈகை,நற்பண்பு,உதவி,1
Courtesy என்ற சொல்லுக்கு இணையான தமிழ்ச்சொல்?,நற்பண்பு,மரியாதை,கண்ணியம்,ஒழுக்கம்,1
Religion என்பதன் தமிழாக்கம்?,மதம்,சமயம்,வழிபாடு,கோயில்,2
Simplicity என்ற ஆங்கிலச் சொல்லுக்குரிய தமிழ்ச்சொல்?,எளிமை,வாய்மை,நேர்மை,தூய்மை,1
Charity என்பதன் தமிழாக்கம்?,ஈகை,தானம்,உதவி,அறம்,1
Dignity என்ற சொல்லுக்கு இணையான தமிழ்ச்சொல்?,கண்ணியம்,பெருமை,மதிப்பு,கௌரவம்,1
Doctrine என்பதன் தமிழாக்கம்?,கொள்கை,தத்துவம்,விதிமுறை,சட்டம்,1
Philosophy என்ற ஆங்கிலச் சொல்லுக்குரிய தமிழ்ச்சொல்?,தத்துவம்,மெய்யியல்,அறிவியல்,கலை,1
Integrity என்பதன் தமிழாக்கம்?,நேர்மை,ஒற்றுமை,ஒருமைப்பாடு,வாய்மை,1
Sincerity என்ற சொல்லுக்கு இணையான தமிழ்ச்சொல்?,வாய்மை,உண்மை,நேர்மை,விசுவாசம்,1
Preaching என்பதன் தமிழாக்கம்?,உபதேசம்,போதனை,சொற்பொழிவு,வழிகாட்டல்,1
Astronomy என்ற ஆங்கிலச் சொல்லுக்குரிய தமிழ்ச்சொல்?,வானியல்,ஜோதிடம்,விண்வெளி,அறிவியல்,1
சரியான இணைகளைத் தேர்வு செய்க. \n\n 1. Media - ஊடகம் \n\n 2. Linguistics - மொழியியல் \n\n 3. Phonology - ஒலியியல் \n\n 4. Journalism - பருவ இதழ்,1 2 மற்றும் 3 சரி,1 மற்றும் 2 சரி,3 மற்றும் 4 சரி,அனைத்தும் சரி,1
கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் சரியாக பொருத்தப்பட்டுள்ளன? \n\n 1. Island - தீவு \n\n 2. Natural Resource - இயற்கை வளம் \n\n 3. Wild Animals - வன விலங்குகள் \n\n 4. Forest Conservator - காடு,1 இணை,2 இணை,3 இணை,4 இணை,3
கலைச்சொற்களை அறிதல். \n\n தவறான இணையைத் தேர்ந்தெடு. \n\n (A) Jungle - காடு \n\n (B) Forestry – வனவியல் \n\n (C) Bio Diversity – பல்லுயிர் மண்டலம் \n\n (D) Ballad – உவமை,A,B,C,D,4
ஆங்கிலச் சொல்லுக்கு நேரான தமிழ்ச்சொல் ? \n\n பொருத்துக \n\n (a) Courage – 1. தியாகம் \n\n (b) Sacrifice – 2. துணிவு \n\n (c) Political Genius – 3. பேச்சாற்றல் \n\n (d) Elocution – 4. அரசியல் மேதை,2 1 4 3,1 2 3 4,2 1 3 4,4 3 2 1,1
கீழ்க்கண்டவற்றுள் எத்தனை இணைகள் தவறாகப் பொருத்தப்பட்டுள்ளன? \n\n 1. Unity - வேற்றுமை \n\n 2. Slogan - முழக்கம் \n\n 3. Equality - சமத்துவம் \n\n 4. Light house - துறைமுகம்,1 இணை,2 இணை,3 இணை,4 இணை,2
சரியான இணையைத் தேர்ந்தெடுக்கவும்: \n\n (A) Ocean - கடல்வாழ் உயிரினம் \n\n (B) Marine technology - கப்பல் தொழில்நுட்பம் \n\n (C) Submarine - கப்பல்தளம் \n\n (D) Anchor - மாலுமி,A,B,C,D,2
